text,mood,textID,sentiment,selected_text
im feeling bitter today my mood has been strange the entire day so i guess its that,anger,8490316944,negative,im feeling bitter
when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,sadness,3542811354,negative,car accident
i am letting go of the animosity that is towards anyone that i feel has wronged me,anger,9324170685,negative,animosity that is towards anyone that i feel has wronged me
i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,love,9973871712,positive,supportive
i feel like throwing away the shitty piece of shit paper,sadness,3006839017,negative,shitty
im starting to feel wryly amused at the banal comedy of errors my life is turning into,joy,500261932,positive,wryly amused
i find every body beautiful and only want people to feel vital in their bodies,joy,28273268,positive,beautiful
i hear are owners who feel victimized by their associations the associations attorneys or the property manager,sadness,1781912776,negative,victimized
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,anger,3879202926,negative,heartless bitch
i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,love,2245879409,positive,loving
i alba i feel good and im fitting in,joy,2528804939,positive,i alba i feel good
i feel excited about what im doing again i feel like i have a ton of catching up to do,joy,3299725044,positive,excited
i also know how good it feels to look back and see that i honored my word and that helps from the start,joy,3717764659,positive,good
i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,sadness,3602016670,negative,i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness
i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,joy,7037456439,positive,helps calm and soothe me
i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,joy,5160417327,positive,hope that you realize how such little effort is required to make a person feel better
i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,joy,4056819731,positive,festive today
finding out that i am not ill not seriously,joy,2632466390,positive,finding out that i am not ill not seriously
i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,sadness,6553168814,negative,my horrible
i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,joy,8978841296,positive,i feel it rarely advances any worthwhile cause
i am feeling all useful,joy,5550905925,positive,i am feeling all useful
i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,love,8445024426,positive,i feel like some of you have pains and you cannot imagine becoming passionate
i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,sadness,2491876821,negative,ugly
im not feeling homesick yet so im feeling alright about this,sadness,7201968399,negative,im not feeling homesick yet
i dance i should feel pretty,joy,6359749207,positive,i dance i should feel pretty
i workout every morning before and feel fabulous for it,joy,6723401462,positive,feel fabulous
i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,sadness,6257477843,negative,shall not be in vain
i was feeling fabulous until friday morning when i started to get these awful cramps at work,joy,7063192423,positive,fabulous
i feel honoured to have been able to call them friends to share their brotherhood,joy,6826096291,positive,honoured
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,fear,129547806,negative,apprehensive
i had stated to her the reason i feel so fearful is because i feel unsafe,fear,9540126936,negative,i feel unsafe
i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,fear,7820493511,negative,i didn t feel like getting shaken down
i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,sadness,5269771426,negative,awkward
i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,love,2964994788,positive,excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved
i feel they are pretty safe on my blog img src http s,joy,8211847471,positive,safe
i feel pretty eager to get it done as i have a fun plan for quilting it,joy,6629213368,positive,i feel pretty eager
i am feeling horny so i ask her that lets go home,love,4932070098,positive,horny
i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,fear,839953378,negative,i don t feel uncomfortable
i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,surprise,3770717832,positive,i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home
i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,joy,9630686320,positive,gorgeous
i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,joy,4086216054,positive,i feel energetic
i was still feeling strong,joy,5846224630,positive,i was still feeling strong
i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,joy,8000258222,positive,i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him
i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,anger,4893107695,negative,maybe i am feeling a little bitter
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,fear,3443352898,negative,badly
i clench to the corners of the bed to feel assured,joy,6599720480,positive,to feel assured
i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,anger,446696079,negative,i also feel like i am being selfish
i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,love,1581003769,positive,utterly affirmed
i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,anger,7561770093,negative,rebellious
i do not feel miserable at all because my family is not the type that celebrates eid,sadness,2737819170,negative,i do not feel miserable
i might go get a car wash if i am feeling really generous my car needs it,joy,122214207,positive,generous
i still feel sleep deprived she is almost sleeping through the night giving us,sadness,8703689755,negative,deprived
i just feel really violent right now,anger,156286052,negative,i just feel really violent right now
i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,joy,4273853131,positive,feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we
i started feeling funny and then friday i woke up sick as a dog,surprise,8415483608,positive,funny
i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,sadness,4689985945,negative,i feel a need to protect
i feel disgusted to even be associated with this woman by my race and nationality,anger,4580940554,negative,disgusted
i laughed then bitterly again but i wasnt feeling bitter,anger,7758590862,negative,i laughed then bitterly again but i wasnt feeling bitter
i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,sadness,4435615424,negative,we hated
i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,joy,5027929694,positive,i was feeling quite mellow
i told him that maybe i just need time to think how ive been feeling indecisive about things lately,fear,7786016516,negative,indecisive
i still feel it does the genre a disservice when stories are resolved artifically,joy,4784429481,positive,i still feel it does the genre a disservice when stories are resolved artifically
i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,joy,9662212968,positive,im pissed
i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,fear,3098195177,negative,terrified
i could feel her whimper to the thought of being unloved and uncared for,sadness,1412858736,negative,unloved and uncared for
im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,surprise,7036836276,positive,curious
im sorry that there wasnt more humor in this post but im not feeling all that funny,surprise,4955644802,positive,im sorry that there wasnt more humor in this post but im not feeling all that funny
i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,joy,3112026223,positive,fantastic
i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,anger,4523788280,negative,what i feel a jealous
i feel strange coming back to work after my one day holiday,fear,9867266966,negative,strange
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger,3066472522,negative,to enhance the feelings of rushed enjambment
i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,sadness,315604205,negative,feeling hell of needy and neglected
i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,anger,7723834345,negative,frustrated
i feel so sad and hopeless,sadness,4681564795,negative,i feel so sad and hopeless
im getting the feeling that my classes are a little intimidated by the concept of a lit,fear,428577095,negative,intimidated
i still feel groggy but i have to get up to do the routine for my son,sadness,7950823740,negative,groggy
i have a feeling my view isnt going to be very popular and thats fine,joy,1174861319,positive,i have a feeling my view isnt going to be very popular and thats fine
i want to hold this feeling of shocked awe and wonder forever,surprise,2544055229,positive,i want to hold this feeling of shocked awe and wonder forever
when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,fear,8435273,negative,i had fear that i might be one of the failures
i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes,joy,9908416331,positive,valued
i know there are days in which you feel distracted,anger,8823646489,negative,distracted
i use it regularly with relaxing music and always feel invigorated afterward,joy,1168031893,positive,relaxing
im feeling distracted i tend to practice with my eyes shut as much as possible,anger,2038311538,negative,distracted
i feel like its perfect a w see youtube has its influences i even know trends,joy,8862796305,positive,perfect
i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol,fear,2486229989,negative,hard
i also didn t feel very weird sleeping in my bed while the two of them slept in hers,fear,3665328295,negative,i also didn t feel very weird
i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy,sadness,1805597536,negative,has made me feel so needy
ive lost some weight such that i could fit into a tiny skirt that ive been unable to wear because i didnt feel confident in it until now,joy,1827094669,positive,i didnt feel confident
i hope to feel a bit more creative again soon and miss its presence in my life blog,joy,6080957479,positive,i hope to feel a bit more creative again soon and miss its presence in my life blog
i am no fan of the current president i am a conservative and it made me feel unwelcome,sadness,3462564001,negative,it made me feel unwelcome
i will enclose her verses on her could not weigh much more thinking and feeling curious to hear the odd couple,surprise,686377858,positive,feeling curious
i begin to feel complacent with my life here,joy,1567734492,positive,complacent
i feel vulnerable and alone,fear,9335400619,negative,i feel vulnerable
i remember feeling inspired and thinking that it was a fine example of parenting,joy,6357387692,positive,fine
i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,sadness,3613062834,negative,i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving
i really feel that my life is perfect right now and if it isnt too much to ask for i just hope that everything would stay the same,joy,2886023771,positive,perfect
im there i simply feel contented,joy,3108942248,positive,feel contented
im not saying cut everyone out of your life but i feel its important to find comfort in solitude meditation or working on projects alone,joy,64414540,positive,its important to find comfort
i think im just being stupid feeling nervous,fear,5679504644,negative,i think im just being stupid feeling nervous
i feel honored by it,joy,8842751906,positive,i feel honored
i was feeling an act of god at work in my life and it was an amazing feeling,surprise,9676768135,positive,it was an amazing feeling
i feel im like a bird flying in the air in a very carefree manner,joy,8880041436,positive,very carefree manner
i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,anger,4136063881,negative,will not feel offended
i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me,sadness,1401611333,negative,i felt sad
i died would alex and matt feel regretful for not coming to visit,sadness,2318792909,negative,i died would alex and matt feel regretful
i feel that educating families and supporting and educationg mamas and papas is key,joy,845547326,positive,i feel that educating families and supporting and educationg mamas and papas is key
im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,anger,3916018479,negative,i hate that feeling
i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage,sadness,4833492603,negative,boring
i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,joy,8618879840,positive,gorgeously glamorous and girly
i feel like i talented young man i don t feel talented then i don t to work with,joy,6823105753,positive,talented
i feel curious about all this things around,surprise,4803635808,positive,i feel curious
i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy,joy,1938096876,positive,successful and happy
i feel now so uncomfortable with all of them i guess is me,fear,8754629287,negative,uncomfortable with all of them
i feel pretty mellow so far about whatever healing wounding process may be getting underway,joy,758167148,positive,i feel pretty mellow
i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances,fear,8365845583,negative,reluctant
i legs would feel shitty for a few miles but would come around like they always do,sadness,4788216411,negative,shitty
i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now,fear,3433520591,negative,i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now
i seriously feel so blessed for the support that i have at home it s amazing,love,3609256936,positive,i seriously feel so blessed for the support that i have at home it s amazing
i feel abused and maligned but mostly tired of the nervous feeling anticipating danger,sadness,1920716572,negative,i feel abused and maligned but mostly tired of the nervous
i am feeling pretty restless right now while typing this,fear,1336178538,negative,restless
i know gosman s is a touristy place to go if you are in the montauk area but infrequent visitors to this area want to head there for the harbor feel the gentle cawing of the seagulls lapping water against the wood pilings and relaxing breeze coming in off the water,love,5128103330,positive,relaxing breeze coming in off the water
i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy,sadness,7315333871,negative,stressed out
i wrote last year when i was feeling more dull and inarticulate than normal,sadness,7233234556,negative,i was feeling more dull
id kick myself into gear but i just feel irritable with no motivation what so ever,anger,844739463,negative,irritable
i feel as a child innocent feelings illustrating a,joy,835806285,positive,i feel as a child innocent
i have the satisfaction of feeling that i m no longer supporting or contributing to the looter driven consumerism that has made a walking corpse out of the america i so revered when i was younger,love,7328486865,positive,satisfaction
i will start to feel resentful,anger,644588116,negative,i will start to feel resentful
i will spend my vacation on me no obligations no headaches no feeling like i am being emotional blackmailed into being three places at once,sadness,8882960180,negative,no headaches
i feel herpes coming i would be very surprised at this point if i make it out again after my checkup at the clinic on wednesday,surprise,5762998,positive,i would be very surprised
i feel so fucked like everyday of my life,anger,7026552210,negative,fucked
ive worked really hard all year to try to make each child in the class feel like they are valued,joy,5883824206,positive,valued
i am feeling disheartened with my words as of late,sadness,5040363610,negative,disheartened
i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,anger,3218263923,negative,i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off
i still second guess myself and still have a terrible time making definitive decisions but there are certain truths that i do know about myself and i feel assured by those truths,joy,5174909080,positive,assured
i don t feel like eggs benedict i ll have something equally delicious,joy,1949709008,positive,i ll have something equally delicious
im feeling my way through and trusting myself,joy,5024349684,positive,trusting myself
im feeling inspired by all the summery elements of my favorite past time beach bummin,joy,1938339904,positive,im feeling inspired by all the summery elements of my favorite past time beach bummin
i can feel that she smiled i love you even more gorgeous,joy,7057109099,positive,i love you even more gorgeous
i continue to define and discover what home can mean here in amsterdam whenever i feel a pang of blank sickness it is more in line with missing the cultural mindset of american city life which is much different from the cultural mindset of amsterdam,sadness,7551258491,negative,sickness
i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely,joy,8842850067,positive,absolutely comfortable
i can t say i feel all that sympathetic,love,8044188177,positive,i can t say i feel all that sympathetic
i was feeling over eager and hopped on to the tube to ride the eye of london,joy,9581273743,positive,eager
i go online and i see a friend talking to another one and is not talking to me i feel ignored i feel unloved,sadness,1606325233,negative,i feel ignored i feel unloved
i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again,anger,8929816869,negative,feel offended
i feel like that s so weird that i had cancer that one time,surprise,3386984350,positive,i feel like that s so weird that i had cancer that one time
i want to feel safe and well and that maybe just maybe theres a small chance my i can feel joy and my dreams can come true,joy,3565229533,positive,i want to feel safe
im feeling cranky,anger,3207732658,negative,im feeling cranky
i also think it is puzzling that after this particular administrator has singled me out for praise on my ability to get my students to read that he feels that ssr time is not a productive use of class time,joy,3263432387,positive,puzzling that after this particular administrator has singled me out for praise
i tried to fill it by befriending people that i knew were only using me but i didnt care because i needed to feel accepted even if it was by some complete loser,love,1442664771,positive,i didnt care
i feel stressed always,sadness,5220666682,negative,i feel stressed always
i remember feeling another cramp but i also ignored it,sadness,4883470052,negative,cramp but i also ignored it
i hope i feel mellow well fed well slept at peace with myself within this external world,joy,9829195919,positive,i hope i feel mellow well fed
i have also learned it takes a lot of effort and positive thinking for me not to break down in tears over feeling exhausted and guilty for not being a better mom,sadness,1297107927,negative,exhausted and guilty for not being a better mom
im feeling awful because we hung out with my friend and her new baby the day before,sadness,27501586,negative,awful
i feel very relaxed and fine,joy,6527111036,positive,i feel very relaxed and fine
i feel the suffering and i really feel the pain,sadness,6776512898,negative,i feel the suffering and i really feel the pain
i go to sleep i feel as if i m giving up precious time to do something else with my life,joy,180317131,positive,i go to sleep i feel as if i m giving up precious time to do something else with my life
i feel like i ve been neglecting my beloved mom blog,joy,8363265313,positive,i feel like i ve been neglecting my beloved mom blog
i shalt say we did cos i din feel a thing when he wrote hw he is keen on xxx,joy,62573931,positive,is keen
i just feel terrified like im on the edge of a precipice staring ahead,fear,7350587517,negative,terrified
i feel totally listless exams have come and gone and now i have a whole five or so months in front of me with no uni and free time,sadness,350214477,negative,i feel totally listless exams
i feel furious that right to life advocates can and do tell me how to live and die through lobbying and supporting those politicians sympathic to their views,anger,1988360925,negative,furious
i feel as if i was abused in some way,sadness,3468581377,negative,abused
im still paying attention but i feel distracted,anger,1761421530,negative,distracted
i started the third block feeling hot and cold and tingly all at the same time knowing that i still had five hours of examination ahead of me having no idea if any of it would do any good,love,3420118127,positive,tingly
im hesitant to make suggestions because i feel as if the outcome would not be sincere,joy,1319174929,positive,im hesitant to make suggestions because i feel as if the outcome would not be sincere
i feel not too terribly fond of the majority at this precise time,love,9619408311,positive,i feel not too terribly fond
i can feel myself gaining control over the damaged goods aspects of my personal security,sadness,7354630542,negative,i can feel myself gaining control over the damaged goods aspects of my personal security
i was that i bombed that first interview i left the second interview feeling pretty fan freaking tastic,joy,1448268245,positive,fan freaking tastic
